Handle,Title,Type,Option1 Name,Option1 Value,Metafield: details.grape [list.single_line_text_field],Metafield: details.region1 [single_line_text_field],Metafield: details.color [single_line_text_field],Metafield: details.subregion [single_line_text_field],Metafield: details.producer [single_line_text_field],Metafield: details.points [list.single_line_text_field],Metafield: details.country [single_line_text_field],Metafield: details.vintagenv [single_line_text_field],Metafield: custom.sparkling [single_line_text_field],Metafield: details.body [number_integer],Metafield: details.acid [number_integer],Metafield: details.tannin [number_integer],Metafield: details.classification [single_line_text_field]
jacques-frederic-mugnier-nuits-saint-georges-premier-cru-clos-de-la-marechale-rouge-2020,"Jacques-Frederic Mugnier: Nuits-Saint-Georges, Premier Cru, Clos de la Marechale, Rouge 2020",,Size,1.5L,,,,,,,,,,,,,
cyprien-arlaud-nuits-saint-georges-premier-cru-cuvee-joseph-2020,"Cyprien Arlaud: Nuits-Saint-Georges, Premier Cru, Cuvee Joseph 2020",,Size,750ml,"[""Pinot Noir""]",Burgundy,Red,Nuits-Saint-Georges,Cyprien Arlaud,,France,2020,Still,3,3,3,Premier Cru
cyprien-arlaud-nuits-saint-georges-premier-cru-cuvee-joseph-2020,"Cyprien Arlaud: Nuits-Saint-Georges, Premier Cru, Cuvee Joseph 2020",,Size,1.5L,,,,,,,,,,,,,
savart-le-mont-des-chretiens-2016,Savart: Le Mont des Chretiens 2016,,Size,1.5L,"[""Chardonnay""]",Champagne,White,,Savart,,France,2016,Sparkling,1,4,,Premier Cru
savart-dremont-ephemere-012-rose-nv,Savart & Dremont: Ephemere 012 Rose NV,,Size,1.5L,"[""Pinot Noir""]",Champagne,Rose,,Savart & Dremont,,France,NV,Sparkling,1,4,,Grand Cru
chateau-trotanoy-pomerol-2020,Chateau Trotanoy: Pomerol 2020,,Size,750ml,"[""Merlot"",""Cabernet Franc""]",Bordeaux,Red,Pomerol,Trotanoy,"[""98-100 Points | Wine Advocate"",""98-100 Points | Vinous""]",France,2020,Still,4,3,3,
chateau-trotanoy-pomerol-2020,Chateau Trotanoy: Pomerol 2020,,Size,1.5L,,,,,,,,,,,,,
chateau-la-conseillante-pomerol-1998,Chateau La Conseillante: Pomerol 1998,,Size,1.5L,"[""Merlot"",""Cabernet Franc""]",Bordeaux,Red,Pomerol,La Conseillante,"[""90 Points | Wine Advocate"",""91 Points | Wine Spectator"",""87 Points | Vinous""]",France,1998,Still,4,3,4,
clandestin-les-semblables-boreal-brut-nature-2017,Clandestin: Les Semblables Boreal Brut Nature 2017,,Size,1.5L,"[""Pinot Noir""]",Champagne,White,,Clandestin,,France,2017,Sparkling,1,4,,
chateau-mouton-rothschild-pauillac-premier-cru-classe-1995,"Chateau Mouton Rothschild: Pauillac, Premier Cru Classe 1995",,Size,1.5L,"[""Cabernet Sauvignon"",""Merlot"",""Cabernet Franc""]",Bordeaux,Red,Pauillac,Mouton Rothschild,"[""95 Points | Wine Advocate"",""94 Points | Wine Spectator"",""95 Points | Vinous""]",France,1995,Still,4,3,4,Premier Cru Classe
domaine-de-la-romanee-conti-la-tache-grand-cru-1990,"Domaine de la Romanee-Conti: La Tache, Grand Cru 1990",,Size,1.5L,"[""Pinot Noir""]",Burgundy,Red,La Tache,de la Romanee-Conti,"[""100 Points | Wine Advocate"",""97 Points | Wine Spectator""]",France,1990,Still,3,3,3,Grand Cru
jacques-frederic-mugnier-musigny-grand-cru-2010,"Jacques-Frederic Mugnier: Musigny, Grand Cru 2010",,Size,1.5L,"[""Pinot Noir""]",Burgundy,Red,Musigny,Jacques-Frederic Mugnier,"[""96-98 Points | Wine Advocate"",""96 Points | Vinous""]",France,2010,Still,3,3,3,Grand Cru
chateau-canon-saint-emilion-grand-cru-premier-grand-cru-classe-b-2016,"Chateau Canon: Saint-Emilion Grand Cru, Premier Grand Cru Classe B 2016",Wine,Size,750ml,"[""Merlot"",""Cabernet Franc""]",Bordeaux,Red,Saint-Emilion Grand Cru,Canon,"[""98+ points | Wine Advocate""]",France,2016,Still,,,,Premier Grand Cru Classe B
chateau-canon-saint-emilion-grand-cru-premier-grand-cru-classe-b-2016,"Chateau Canon: Saint-Emilion Grand Cru, Premier Grand Cru Classe B 2016",Wine,Size,1.5L,,,,,,,,,,,,,
domaine-bonneau-du-martray-corton-charlemagne-grand-cru-2020,"Domaine Bonneau du Martray: Corton-Charlemagne, Grand Cru 2020",,Size,750ml,"[""Chardonnay""]",Burgundy,White,Corton-Charlemagne,Bonneau du Martray,,France,2020,Still,,,,Grand Cru
domaine-bonneau-du-martray-corton-charlemagne-grand-cru-2020,"Domaine Bonneau du Martray: Corton-Charlemagne, Grand Cru 2020",,Size,1.5L,,,,,,,,,,,,,
chateau-phelan-segur-saint-estephe-2015,Chateau Phelan Segur: Saint-Estephe 2015,Wine,Size,1.5L,"[""Cabernet Sauvignon"",""Cabernet Franc"",""Merlot""]",Bordeaux,Red,Saint Estephe,Phelan Segur,,France,2015,Still,,,,
domaine-de-la-grange-des-peres-pays-dherault-rouge-2020,Domaine de la Grange des Peres: Pays d'Herault Rouge 2020,Wine,Size,750ml,"[""Syrah"",""Mourvedre"",""Cinsault""]",Languedoc,Red,Pays d'Herault,Grange des Peres,,France,2020,Still,4,3,4,
domaine-de-la-grange-des-peres-pays-dherault-rouge-2020,Domaine de la Grange des Peres: Pays d'Herault Rouge 2020,Wine,Size,1.5L,,,,,,,,,,,,,
domaine-marquis-dangerville-bourgogne-rouge,Domaine Marquis d'Angerville: Bourgogne Rouge,Wine,Size,1.5L,"[""Pinot Noir""]",Burgundy,Red,Bourgogne,Marquis d'Angerville,,France,2019,Still,3,3,3,
chateau-mont-redon-chateauneuf-du-pape-rouge-2010,"Chateau Mont-Redon: Chateauneuf-du-Pape, Rouge 2010",,Title,750ml,"[""Grenache"",""Mourvedre"",""Syrah""]",Rhone,Red,Chateauneuf-du-Pape,Mont-Redon,,France,2010,Still,,,,
chateau-mont-redon-chateauneuf-du-pape-rouge-2010,"Chateau Mont-Redon: Chateauneuf-du-Pape, Rouge 2010",,Title,1.5L,,,,,,,,,,,,,
domaine-tempier-bandol-rose-2022,Domaine Tempier: Bandol Rose 2022,,Size,750ml,"[""Grenache"",""Mourvedre"",""Cinsault""]",Provence,Rose,Bandol,Tempier,,France,2022,Still,4,2,,
domaine-tempier-bandol-rose-2022,Domaine Tempier: Bandol Rose 2022,,Size,1.5L,,,,,,,,,,,,,
domaine-tempier-bandol-rose-2022,Domaine Tempier: Bandol Rose 2022,,Size,3L,,,,,,,,,,,,,
roilette-fleurie-2022,Roilette: Fleurie 2022,Wine,Size,750ml,"[""Gamay""]",Beaujolais,Red,Fleurie,Roilette,,France,2022,Still,3,3,2,
