Handle,Title,Type,Option1 Name,Option1 Value,Metafield: details.grape [list.single_line_text_field],Metafield: details.region1 [single_line_text_field],Metafield: details.color [single_line_text_field],Metafield: details.subregion [single_line_text_field],Metafield: details.producer [single_line_text_field],Metafield: details.points [list.single_line_text_field],Metafield: details.country [single_line_text_field],Metafield: details.vintagenv [single_line_text_field],Metafield: custom.sparkling [single_line_text_field],Metafield: details.body [number_integer],Metafield: details.acid [number_integer],Metafield: details.tannin [number_integer],Metafield: details.classification [single_line_text_field]
chateau-trotanoy-pomerol-2016,Chateau Trotanoy: Pomerol 2016,Wine,Size,750ml,"[""Merlot"",""Cabernet Franc"",""Cabernet Sauvignon"",""Malbec""]",Bordeaux,Red,Pomerol,Trotanoy,"[""95 - 98 points | Vinous"",""96-98 points | Wine Advocate""]",France,2016,Still,4,3,4,
chateau-trotanoy-pomerol-2016,Chateau Trotanoy: Pomerol 2016,Wine,Size,1.5L,,,,,,,,,,,,,
dom-perignon-luminous-rose-2006,Dom Perignon: Luminous Rose 2006,Wine,Size,1.5L,"[""Chardonnay"",""Pinot Noir""]",Champagne,Rose,NA,Dom Perignon,,France,2006,Sparkling,1,4,,
dom-perignon-x-lady-gaga-luminous-rose-2008,Dom Perignon: x Lady Gaga Luminous Rose 2008,Wine,Size,750ml,"[""Pinot Noir"",""Chardonnay""]",Champagne,Rose,NA,Dom Perignon,,France,2008,Sparkling,1,4,,
dom-perignon-x-lady-gaga-luminous-rose-2008,Dom Perignon: x Lady Gaga Luminous Rose 2008,Wine,Size,1.5L,,,,,,,,,,,,,
domaine-arlaud-morey-saint-denis-2019,Domaine Arlaud: Morey-Saint-Denis 2019,Wine,Size,1.5L,"[""Pinot Noir""]",Burgundy,Red,Morey-Saint-Denis,Arlaud,"[""87-89 points | Vinous""]",France,2019,Still,3,3,3,
domaine-armand-rousseau-chambertin-clos-de-beze-grand-cru-2015,"Domaine Armand Rousseau: Chambertin-Clos de Beze, Grand Cru 2015",Wine,Size,1.5L,"[""Pinot Noir""]",Burgundy,Red,Chambertin-Clos de Beze,Armand Rousseau,"[""95-97 points | Vinous"",""97 points | Wine Advocate""]",France,2015,Still,3,3,3,Grand Cru
domaine-comte-georges-de-vogue-musigny-grand-cru-cuvee-vieilles-vignes-2015,"Domaine Comte Georges de Vogue: Musigny, Grand Cru, Cuvee Vieilles Vignes 2015",Wine,Size,1.5L,"[""Pinot Noir""]",Burgundy,Red,Musigny,Comte Georges de Vogue,"[""94 - 97 points | Vinous"",""95-97 points | Wine Advocate""]",France,2015,Still,3,3,3,Grand Cru
domaine-comte-georges-de-vogue-musigny-grand-cru-cuvee-vieilles-vignes-2019,"Domaine Comte Georges de Vogue: Musigny, Grand Cru, Cuvee Vieilles Vignes 2019",Wine,Size,750ml,"[""Pinot Noir""]",Burgundy,Red,Musigny,Comte Georges de Vogue,,France,2019,Still,3,3,3,Grand Cru
domaine-comte-georges-de-vogue-musigny-grand-cru-cuvee-vieilles-vignes-2019,"Domaine Comte Georges de Vogue: Musigny, Grand Cru, Cuvee Vieilles Vignes 2019",Wine,Size,1.5L,,,,,,,,,,,,,
domaine-georges-vernay-cote-rotie-blonde-du-seigneur-2016,"Domaine Georges Vernay: Cote Rotie, Blonde du Seigneur 2016",Wine,Size,1.5L,"[""Syrah""]",Rhone,Red,Cote Rotie,Georges Vernay,"[""93 points | Wine Advocate""]",France,2016,Still,4,3,4,
domaine-genot-boulanger-corton-charlemagne-grand-cru-2019,"Domaine Genot-Boulanger: Corton-Charlemagne, Grand Cru 2019",Wine,Size,1.5L,"[""Chardonnay""]",Burgundy,White,Corton-Charlemagne,Genot-Boulanger,"[""90-92 points | Vinous""]",France,2019,Still,2,4,,Grand Cru
domaine-des-lambrays-clos-des-lambrays-grand-cru-2019,"Domaine des Lambrays: Clos des Lambrays, Grand Cru 2019",Wine,Size,1.5L,"[""Pinot Noir""]",Burgundy,Red,Clos des Lambrays,des Lambrays,,France,2019,Still,3,3,3,Grand Cru
domaine-jamet-les-plaisirs-dharys-vdf-2016,Domaine Jamet: Les Plaisirs d'Harys VdF 2016,Wine,Size,1.5L,"[""Syrah""]",Rhone,Red,NA,Jamet,,France,2016,Still,4,3,4,
domaine-marquis-dangerville-volnay-premier-cru-champans-2017,"Domaine Marquis d'Angerville: Volnay, Premier Cru, Champans 2017",Wine,Size,1.5L,"[""Pinot Noir""]",Burgundy,Red,Volnay,Marquis d'Angerville,"[""92-94 points | Vinous"",""91-93 points | Wine Advocate""]",France,2017,Still,3,3,3,Premier Cru
domaine-nicole-lamarche-echezeaux-grand-cru-2018,"Domaine Nicole Lamarche: Echezeaux, Grand Cru 2018",Wine,Size,750ml,"[""Pinot Noir""]",Burgundy,Red,Echezeaux,Nicole Lamarche,"[""91-93 points | Vinous""]",France,2018,Still,3,3,3,Grand Cru
domaine-nicole-lamarche-echezeaux-grand-cru-2018,"Domaine Nicole Lamarche: Echezeaux, Grand Cru 2018",Wine,Size,1.5L,,,,,,,,,,,,,
domaine-nicole-lamarche-clos-de-vougeot-grand-cru-2017,"Domaine Nicole Lamarche: Clos de Vougeot, Grand Cru 2017",Wine,Size,1.5L,"[""Pinot Noir""]",Burgundy,Red,Clos de Vougeot,Nicole Lamarche,"[""92 points | Vinous""]",France,2017,Still,3,3,3,Grand Cru
domaine-nicole-lamarche-clos-de-vougeot-grand-cru-2016,"Domaine Nicole Lamarche: Clos de Vougeot, Grand Cru 2016",Wine,Size,1.5L,"[""Pinot Noir""]",Burgundy,Red,Clos de Vougeot,Nicole Lamarche,"[""90-92 points | Wine Advocate""]",France,2016,Still,3,3,3,Grand Cru
domaine-nicole-lamarche-la-grande-rue-grand-cru-2018,"Domaine Nicole Lamarche: La Grande Rue, Grand Cru 2018",Wine,Size,750ml,"[""Pinot Noir""]",Burgundy,Red,La Grande Rue,Nicole Lamarche,,France,2018,Still,3,3,3,Grand Cru
domaine-nicole-lamarche-la-grande-rue-grand-cru-2018,"Domaine Nicole Lamarche: La Grande Rue, Grand Cru 2018",Wine,Size,1.5L,,,,,,,,,,,,,
domaine-nicole-lamarche-la-grande-rue-grand-cru-2017,"Domaine Nicole Lamarche: La Grande Rue, Grand Cru 2017",Wine,Size,750ml,"[""Pinot Noir""]",Burgundy,Red,La Grande Rue,Nicole Lamarche,"[""92-94 points | Vinous""]",France,2017,Still,3,3,3,Grand Cru
domaine-nicole-lamarche-la-grande-rue-grand-cru-2017,"Domaine Nicole Lamarche: La Grande Rue, Grand Cru 2017",Wine,Size,1.5L,,,,,,,,,,,,,
domaine-rostaing-cote-rotie-la-landonne-2016,"Domaine Rostaing: Cote Rotie, La Landonne 2016",Wine,Size,1.5L,"[""Syrah""]",Rhone,Red,Cote Rotie,Rostaing,"[""94-96 points | Vinous"",""97 points | Wine Advocate""]",France,2016,Still,4,3,4,
domaine-rostaing-cote-rotie-la-landonne-2017,"Domaine Rostaing: Cote Rotie, La Landonne 2017",Wine,Size,1.5L,"[""Syrah""]",Rhone,Red,Cote Rotie,Rostaing,"[""94 points | Vinous"",""95-97 points | Wine Advocate""]",France,2017,Still,4,3,4,
domaine-tempier-bandol-tourtine-2013,Domaine Tempier: Bandol Tourtine 2013,Wine,Size,1.5L,"[""Mourvedre"",""Grenache"",""Cinsault""]",Provence,Red,Bandol,Tempier,"[""92 points | Wine Advocate""]",France,2013,Still,4,3,4,
domaine-tempier-bandol-tourtine-2012,Domaine Tempier: Bandol Tourtine 2012,Wine,Size,1.5L,"[""Mourvedre"",""Grenache"",""Cinsault""]",Provence,Red,Bandol,Tempier,"[""94 points | Wine Advocate""]",France,2012,Still,4,3,4,
domaine-tempier-bandol-tourtine-2014,Domaine Tempier: Bandol Tourtine 2014,Wine,Size,1.5L,"[""Mourvedre"",""Grenache"",""Cinsault""]",Provence,Red,Bandol,Tempier,"[""91-93 points | Wine Advocate""]",France,2014,Still,4,3,4,
domaine-tempier-bandol-tourtine-2016,Domaine Tempier: Bandol Tourtine 2016,Wine,Size,1.5L,"[""Grenache"",""Mourvedre"",""Cinsault""]",Provence,Red,Bandol,Tempier,,France,2016,Still,4,2,3,
domaine-vacheron-sancerre-les-romains-2019,Domaine Vacheron: Sancerre Les Romains 2019,Wine,Size,1.5L,"[""Sauvignon Blanc""]",Loire,White,Sancerre,Vacheron,,France,2019,Still,2,4,,
giacomo-conterno-barbera-dalba-2012,Giacomo Conterno: Barbera d'Alba 2012,Wine,Size,1.5L,"[""Barbera""]",Piedmont,Red,Barbera d'Alba,Giacomo Conterno,"[""94 points | Vinous"",""94 points | Wine Advocate""]",Italy,2012,Still,3,4,2,
gerard-boulay-sancerre-mont-damnes-2017,Gerard Boulay: Sancerre Mont Damnes 2017,Wine,Size,1.5L,"[""Sauvignon Blanc""]",Loire,White,Sancerre,Gerard Boulay,,France,2017,Still,2,4,,
domaine-tempier-bandol-tourtine-2017,Domaine Tempier: Bandol Tourtine 2017,Wine,Size,1.5L,"[""Grenache"",""Mourvedre"",""Cinsault""]",Provence,Red,Bandol,Tempier,,France,2017,Still,4,2,3,
giacomo-conterno-barolo-2013,Giacomo Conterno: Barolo 2013,Wine,Size,750ml,"[""Nebbiolo""]",Piedmont,Red,Barolo,Giacomo Conterno,"[""99 points | Vinous"",""98 points | Wine Advocate""]",Italy,2013,Still,4,4,5,
giacomo-conterno-barolo-2013,Giacomo Conterno: Barolo 2013,Wine,Size,1.5L,,,,,,,,,,,,,
giacomo-conterno-barolo-cerretta-2011,"Giacomo Conterno: Barolo, Cerretta 2011",Wine,Size,1.5L,"[""Nebbiolo""]",Piedmont,Red,Barolo,Giacomo Conterno,"[""95 points | Vinous""]",Italy,2011,Still,4,4,5,
giacomo-conterno-barolo-cerretta-2011,"Giacomo Conterno: Barolo, Cerretta 2011",Wine,Size,750ml,,,,,,,,,,,,,
giuseppe-mascarello-e-figlio-barolo-monprivato-2012,"Giuseppe Mascarello e Figlio: Barolo, Monprivato 2012",Wine,Size,1.5L,"[""Nebbiolo""]",Piedmont,Red,Barolo,Giuseppe Mascarello e Figlio,,Italy,2012,Still,4,4,5,
giacomo-conterno-barolo-francia-2012,"Giacomo Conterno: Barolo, Francia 2012",Wine,Size,1.5L,"[""Nebbiolo""]",Piedmont,Red,Barolo,Giacomo Conterno,"[""94 - 97 points | Vinous"",""95 points | Wine Advocate""]",Italy,2012,Still,4,4,5,
giacomo-conterno-barolo-francia-2012,"Giacomo Conterno: Barolo, Francia 2012",Wine,Size,750ml,,,,,,,,,,,,,
heitz-cellar-napa-valley-marthas-vineyard-cabernet-sauvignon-2013,"Heitz Cellar: Napa Valley, Martha's Vineyard Cabernet Sauvignon 2013",Wine,Size,1.5L,"[""Cabernet Sauvignon""]",California,Red,Napa Valley,Heitz Cellar,,United States,2013,Still,4,3,4,
heitz-cellar-napa-valley-marthas-vineyard-cabernet-sauvignon-2008,"Heitz Cellar: Napa Valley, Martha's Vineyard Cabernet Sauvignon 2008",Wine,Size,1.5L,"[""Cabernet Sauvignon""]",California,Red,Napa Valley,Heitz Cellar,"[""90 points | Vinous""]",United States,2008,Still,4,3,4,
heitz-cellar-napa-valley-marthas-vineyard-cabernet-sauvignon-2009,"Heitz Cellar: Napa Valley, Martha's Vineyard Cabernet Sauvignon 2009",Wine,Size,1.5L,"[""Cabernet Sauvignon""]",California,Red,Napa Valley,Heitz Cellar,"[""93 points | Vinous""]",United States,2009,Still,4,3,4,
